R,M_A,M_B,PredictedSignature,TrueSignature,SigPredTrue?,SigRuleUsed,PredictedNumPureNash,TrueNumPureNash,NumPredTrue?,NumRuleUsed,PredNashLoc,TrueNashLoc,LocPredTrue?,LocRuleUsed
1,1,1,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,1,2,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,1,3,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,1,4,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,1,5,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,1,6,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,1,7,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,1,8,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,1,9,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,2,2,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,2,3,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,2,4,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,2,5,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,2,6,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,2,7,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,2,8,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,2,9,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,3,3,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,3,4,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,3,5,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,3,6,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,3,7,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,3,8,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,3,9,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,4,4,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,4,5,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,4,6,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,4,7,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,4,8,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,4,9,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,5,5,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,5,6,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,5,7,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,5,8,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,5,9,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,6,6,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,6,7,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,6,8,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,6,9,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,7,7,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,7,8,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,7,9,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,8,8,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,8,9,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
1,9,9,"([0], [0])","([0], [0])",Yes,Rule 1,1,1,Yes,Rule A,"[(0, 0)]","[(0, 0)]",Yes,Rule A
2,1,1,"([0, 1], [0, 1])","([0, 1], [0, 1])",Yes,Rule 3,4,4,Yes,Rule B,"[(0, 0), (0, 1), (1, 0), (1, 1)]","[(0, 0), (0, 1), (1, 0), (1, 1)]",Yes,Rule B
2,1,2,"([0, 1], [0, 1, 2])","([0, 1], [0, 1, 2])",Yes,Rule 5,4,4,Yes,Rule B,"[(0, 0), (0, 1), (1, 0), (1, 1)]","[(0, 0), (0, 1), (1, 0), (1, 1)]",Yes,Rule B
2,1,3,"([0, 1], [0, 1, 2])","([0, 1], [0, 1, 2])",Yes,Rule 5,4,4,Yes,Rule B,"[(0, 0), (0, 1), (1, 0), (1, 1)]","[(0, 0), (0, 1), (1, 0), (1, 1)]",Yes,Rule B
2,1,4,"([0, 1], [0, 1, 2])","([0, 1], [0, 1, 2])",Yes,Rule 5,4,4,Yes,Rule B,"[(0, 0), (0, 1), (1, 0), (1, 1)]","[(0, 0), (0, 1), (1, 0), (1, 1)]",Yes,Rule B
2,1,5,"([0, 1], [0, 1, 2])","([0, 1], [0, 1, 2])",Yes,Rule 5,4,4,Yes,Rule B,"[(0, 0), (0, 1), (1, 0), (1, 1)]","[(0, 0), (0, 1), (1, 0), (1, 1)]",Yes,Rule B
2,1,6,"([0, 1], [0, 1, 2])","([0, 1], [0, 1, 2])",Yes,Rule 5,4,4,Yes,Rule B,"[(0, 0), (0, 1), (1, 0), (1, 1)]","[(0, 0), (0, 1), (1, 0), (1, 1)]",Yes,Rule B
2,1,7,"([0, 1], [0, 1, 2])","([0, 1], [0, 1, 2])",Yes,Rule 5,4,4,Yes,Rule B,"[(0, 0), (0, 1), (1, 0), (1, 1)]","[(0, 0), (0, 1), (1, 0), (1, 1)]",Yes,Rule B
2,1,8,"([0, 1], [0, 1, 2])","([0, 1], [0, 1, 2])",Yes,Rule 5,4,4,Yes,Rule B,"[(0, 0), (0, 1), (1, 0), (1, 1)]","[(0, 0), (0, 1), (1, 0), (1, 1)]",Yes,Rule B
2,1,9,"([0, 1], [0, 1, 2])","([0, 1], [0, 1, 2])",Yes,Rule 5,4,4,Yes,Rule B,"[(0, 0), (0, 1), (1, 0), (1, 1)]","[(0, 0), (0, 1), (1, 0), (1, 1)]",Yes,Rule B
